#curie_map:
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  ORCID: https://orcid.org/
#  atlas: https://www.ento.csiro.au/biology/drosophila/melanogaster.html?
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbbt/mappings/anatomical-atlas.sssom.tsv
#creator_id:
#  - ORCID:0000-0002-1373-1705
#license: http://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbbt.owl
#mapping_date: 2024-07-11
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00003007	adult head	skos:exactMatch	atlas:head	semapv:ManualMappingCuration
FBbt:00003018	adult thorax	skos:exactMatch	atlas:thorax	semapv:ManualMappingCuration
FBbt:00003023	adult abdomen	skos:exactMatch	atlas:abdomen	semapv:ManualMappingCuration
FBbt:00004121	vertical bristle	skos:exactMatch	atlas:vertical%20setae	semapv:ManualMappingCuration
FBbt:00004125	fronto-orbital bristle	skos:exactMatch	atlas:fronto-orbital%20setae	semapv:ManualMappingCuration
FBbt:00004126	postocellar bristle	skos:exactMatch	atlas:postocellar%20setae	semapv:ManualMappingCuration
FBbt:00004127	postorbital bristle	skos:exactMatch	atlas:postocular%20setulae	semapv:ManualMappingCuration
FBbt:00004128	ocellar bristle	skos:exactMatch	atlas:ocellar%20setae	semapv:ManualMappingCuration
FBbt:00004129	interocellar bristle	skos:exactMatch	atlas:interocellar%20setulae	semapv:ManualMappingCuration
FBbt:00004130	vibrissal bristle	skos:exactMatch	atlas:vibrissae	semapv:ManualMappingCuration
FBbt:00004131	subvibrissal bristle	skos:exactMatch	atlas:subvibrissae	semapv:ManualMappingCuration
FBbt:00004132	ventral postgenal bristle	skos:exactMatch	atlas:postgenal%20setae	semapv:ManualMappingCuration
FBbt:00004249	humeral bristle	skos:exactMatch	atlas:postpronotal%20setae	semapv:ManualMappingCuration
FBbt:00004296	sex comb	skos:exactMatch	atlas:sex%20comb	semapv:ManualMappingCuration
FBbt:00004299	presutural bristle	skos:exactMatch	atlas:presutural%20seta	semapv:ManualMappingCuration
FBbt:00004300	notopleural bristle	skos:exactMatch	atlas:notopleural%20setae	semapv:ManualMappingCuration
FBbt:00004303	supraalar bristle	skos:exactMatch	atlas:supra-alar%20setae	semapv:ManualMappingCuration
FBbt:00004306	dorsocentral bristle	skos:exactMatch	atlas:dorsocentral%20setae	semapv:ManualMappingCuration
FBbt:00004309	postalar bristle	skos:exactMatch	atlas:postalar%20setae	semapv:ManualMappingCuration
FBbt:00004312	scutellar bristle	skos:exactMatch	atlas:scutellar%20setae	semapv:ManualMappingCuration
FBbt:00004321	katepisternal bristle	skos:narrowMatch	atlas:katepisternal%20setae%20	semapv:ManualMappingCuration
FBbt:00004321	katepisternal bristle	skos:narrowMatch	atlas:katepisternal%20setulae	semapv:ManualMappingCuration
FBbt:00004476	abdominal tergite	skos:exactMatch	atlas:tergites	semapv:ManualMappingCuration
FBbt:00004477	abdominal sternite	skos:exactMatch	atlas:sternites	semapv:ManualMappingCuration
FBbt:00004482	adult head capsule	skos:exactMatch	atlas:head%20capsule	semapv:ManualMappingCuration
FBbt:00004484	ptilinal suture	skos:exactMatch	atlas:ptilinal%20fissure	semapv:ManualMappingCuration
FBbt:00004490	postfrons	skos:exactMatch	atlas:frons	semapv:ManualMappingCuration
FBbt:00004491	gena	skos:exactMatch	atlas:gena	semapv:ManualMappingCuration
FBbt:00004492	occiput	skos:exactMatch	atlas:occiput	semapv:ManualMappingCuration
FBbt:00004495	ocellar triangle	skos:exactMatch	atlas:ocellar%20triangle	semapv:ManualMappingCuration
FBbt:00004496	postgena	skos:exactMatch	atlas:postgena	semapv:ManualMappingCuration
FBbt:00004505	ocellus	skos:exactMatch	atlas:ocellus	semapv:ManualMappingCuration
FBbt:00004508	eye	skos:exactMatch	atlas:compound%20eye	semapv:ManualMappingCuration
FBbt:00004511	antenna	skos:exactMatch	atlas:antenna	semapv:ManualMappingCuration
FBbt:00004513	first segment of antenna	skos:exactMatch	atlas:scape	semapv:ManualMappingCuration
FBbt:00004514	second segment of antenna	skos:exactMatch	atlas:pedicel	semapv:ManualMappingCuration
FBbt:00004515	third segment of antenna	skos:exactMatch	atlas:flagellomere%201	semapv:ManualMappingCuration
FBbt:00004516	fourth segment of antenna	skos:exactMatch	atlas:aristomere%201	semapv:ManualMappingCuration
FBbt:00004517	fifth segment of antenna	skos:exactMatch	atlas:aristomere%202	semapv:ManualMappingCuration
FBbt:00004519	arista	skos:exactMatch	atlas:arista	semapv:ManualMappingCuration
FBbt:00004521	clypeus	skos:exactMatch	atlas:clypeus	semapv:ManualMappingCuration
FBbt:00004535	proboscis	skos:exactMatch	atlas:proboscis	semapv:ManualMappingCuration
FBbt:00004550	neck	skos:exactMatch	atlas:cervix	semapv:ManualMappingCuration
FBbt:00004554	episternum	skos:exactMatch	atlas:episternum	semapv:ManualMappingCuration
FBbt:00004556	epimeron	skos:exactMatch	atlas:epimeron	semapv:ManualMappingCuration
FBbt:00004562	postpronotum	skos:exactMatch	atlas:postpronotum	semapv:ManualMappingCuration
FBbt:00004566	prothoracic episternum	skos:exactMatch	atlas:proepisternum	semapv:ManualMappingCuration
FBbt:00004568	prothoracic epimeron	skos:exactMatch	atlas:proepimeron	semapv:ManualMappingCuration
FBbt:00004582	prescutum	skos:exactMatch	atlas:presutural%20mesonotum	semapv:ManualMappingCuration
FBbt:00004583	scutum	skos:exactMatch	atlas:postsutural%20mesonotum	semapv:ManualMappingCuration
FBbt:00004587	scutellum	skos:exactMatch	atlas:scutellum	semapv:ManualMappingCuration
FBbt:00004589	mesothoracic laterotergite	skos:exactMatch	atlas:laterotergite	semapv:ManualMappingCuration
FBbt:00004591	mesothoracic pleurum	skos:exactMatch	atlas:mesopleuron	semapv:ManualMappingCuration
FBbt:00004593	anepimeron	skos:exactMatch	atlas:anepimeron	semapv:ManualMappingCuration
FBbt:00004594	katepimeron	skos:exactMatch	atlas:katepimeron	semapv:ManualMappingCuration
FBbt:00004597	anepisternum	skos:relatedMatch	atlas:anepisternum	semapv:ManualMappingCuration
FBbt:00004599	katepisternum	skos:exactMatch	atlas:katepisternum	semapv:ManualMappingCuration
FBbt:00004601	scutoscutellar suture	skos:exactMatch	atlas:scutoscutellar%20suture	semapv:ManualMappingCuration
FBbt:00004602	intrascutal suture	skos:exactMatch	atlas:transverse%20suture	semapv:ManualMappingCuration
FBbt:00004607	pleural cleft	skos:exactMatch	atlas:pleural%20suture	semapv:ManualMappingCuration
FBbt:00004609	adult anterior thoracic spiracle	skos:exactMatch	atlas:anterior%20spiracle	semapv:ManualMappingCuration
FBbt:00004631	adult metathoracic spiracle	skos:exactMatch	atlas:posterior%20spiracle	semapv:ManualMappingCuration
FBbt:00004640	leg	skos:exactMatch	atlas:legs	semapv:ManualMappingCuration
FBbt:00004641	coxa	skos:exactMatch	atlas:coxae	semapv:ManualMappingCuration
FBbt:00004642	tibia	skos:exactMatch	atlas:tibiae	semapv:ManualMappingCuration
FBbt:00004643	trochanter	skos:exactMatch	atlas:trochanters	semapv:ManualMappingCuration
FBbt:00004644	femur	skos:exactMatch	atlas:femora	semapv:ManualMappingCuration
FBbt:00004648	metatarsus	skos:exactMatch	atlas:basitarsi	semapv:ManualMappingCuration
FBbt:00004655	pulvillus	skos:exactMatch	atlas:pulvilli	semapv:ManualMappingCuration
FBbt:00004659	empodium	skos:exactMatch	atlas:empodium	semapv:ManualMappingCuration
FBbt:00004660	unguis	skos:exactMatch	atlas:tarsal%20claws	semapv:ManualMappingCuration
FBbt:00004663	prothoracic leg	skos:exactMatch	atlas:fore%20leg	semapv:ManualMappingCuration
FBbt:00004664	prothoracic coxa	skos:exactMatch	atlas:procoxa	semapv:ManualMappingCuration
FBbt:00004665	prothoracic tibia	skos:exactMatch	atlas:protibia	semapv:ManualMappingCuration
FBbt:00004666	prothoracic trochanter	skos:exactMatch	atlas:protrochanter	semapv:ManualMappingCuration
