Class	Class_label	image_url	image_doi	license
ID		A foaf:depiction	>A oboInOwl:hasDbXref	>AI dc:licence
FBbt:00003632	adult central complex	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00003668	protocerebral bridge	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00003679	fan-shaped body	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00003678	ellipsoid body	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00003680	nodulus	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00045037	adult crepine	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00040038	rubus	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00040060	gall	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00003681	adult lateral accessory lobe	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f073/4407839/e48065582b72/cne0523-0997-f1.jpg	doi:10.1002/cne.23705	https://creativecommons.org/licenses/by-nc-nd/4.0/
FBbt:00004213	photoreceptor cell R1	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/bae0/7069908/ef7abe34662d/359_2019_1375_Fig2_HTML.jpg	doi:10.1007/s00359-019-01375-9	https://creativecommons.org/licenses/by/4.0/
FBbt:00004215	photoreceptor cell R2	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/bae0/7069908/ef7abe34662d/359_2019_1375_Fig2_HTML.jpg	doi:10.1007/s00359-019-01375-9	https://creativecommons.org/licenses/by/4.0/
FBbt:00004217	photoreceptor cell R3	https://cdn.ncbi.nlm.nih.gov/pmc/blobs/bae0/7069908/ef7abe34662d/359_2019_1375_Fig2_HTML.jpg	doi:10.1007/s00359-019-01375-9	https://creativecommons.org/licenses/by/4.0/
