flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_GNG	AN_GNG_21		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_22		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_23		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_24		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_25		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_26		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_27		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_28		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_29		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_30		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_31		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_32		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_33		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_34		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_35		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_36		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_37		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_38		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_39		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_40		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_41		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_42		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_43		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_44		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_45		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_46		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_47		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_48		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_49		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_51		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_52		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_53		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_54		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_55		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_56		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_57		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_58		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_59		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_60		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_61		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_62		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_63		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_64		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_65		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_66		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_67		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_68			FBbt:20007225	adult AN_GNG_68 neuron
afferent	ascending	AN	AN_GNG	AN_GNG_69		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_70		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_71		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_72		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_73		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_74		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_75		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_76		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_77		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_78		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_79		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_80		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_81		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_82		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_83		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_84		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_85		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_86		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_87		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_88		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_89		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_90		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_91		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_92		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_93		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_94		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_95		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_96		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_97		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_98		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_99		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_AMMC	AN_GNG_AMMC_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_AMMC	AN_GNG_AMMC_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_AMMC	AN_GNG_AMMC_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_AVLP	AN_GNG_AVLP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_AVLP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_AVLP_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_FLA_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_FLA_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_FLA_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_FLA_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_FLA_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_FLA	AN_GNG_FLA_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_12		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_13		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_14		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_15		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_16		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_17		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_18		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_19		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_20		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_IPS	AN_GNG_IPS_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_PRW	AN_GNG_LAL_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_PRW	AN_GNG_PRW_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_PRW	AN_GNG_PRW_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_PRW	AN_GNG_PRW_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_PRW	AN_GNG_PRW_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_12		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_13		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_14		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_15		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_16		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_17		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_18		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_19		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_20		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_21		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_22		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_23		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_24		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_25		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_26		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_27		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_28		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_29		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_30		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_31		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_32		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_33		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_34		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_35		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SAD	AN_GNG_SAD_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_SPS	AN_GNG_SPS_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_12		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_VES	AN_GNG_VES_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_WED	AN_GNG_WED_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_WED	AN_GNG_WED_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG_WED	AN_GNG_WED_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_GNG	AN_IPS_GNG_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_LAL	AN_IPS_LAL_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_SPS	AN_IPS_SPS_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_WED	AN_IPS_WED_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_IPS_WED	AN_IPS_WED_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_LAL	AN_LAL_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_LH_AVLP	AN_LH_AVLP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_LH_AVLP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_100		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_101		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_102		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_103		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_104		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_105	706176085		FBbt:20004421	adult AN_multi_105 neuron
afferent	ascending	AN	AN_multi	AN_multi_106		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_107		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_108		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_109		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_110		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_111		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_112		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_113		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_114		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_115		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_116		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_117		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_118		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_119		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_12		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_120		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_121		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_122		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_123		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_multi	AN_multi_124		general_term	FBbt:00048301	adult ascending neuron
